Date,Open,High,Low,Close,Volume,Currency
2010-11-01,1241.75,1246.13,1228.63,1239.38,0,USD
2010-11-02,1240.63,1241.88,1230.63,1234.25,0,USD
2010-11-03,1234.38,1243.25,1222.38,1239.13,0,USD
2010-11-04,1238.88,1281.38,1238.63,1279.38,0,USD
2010-11-05,1278.25,1289.75,1271.88,1282.88,0,USD
2010-11-08,1284.5,1289.38,1274.25,1274.25,0,USD
2010-11-09,1274.88,1340.13,1270.25,1327.13,0,USD
2010-11-10,1325.88,1330.38,1314.88,1319.38,0,USD
2010-11-11,1320.5,1341.88,1317.88,1339.63,0,USD
2010-11-12,1342.88,1348.0,1268.88,1269.13,0,USD
2010-11-15,1266.75,1307.13,1252.5,1288.25,0,USD
2010-11-16,1285.25,1289.63,1216.38,1220.63,0,USD
2010-11-17,1221.5,1232.25,1175.38,1204.75,0,USD
2010-11-18,1209.88,1245.25,1194.13,1242.63,0,USD
2010-11-19,1244.63,1255.88,1200.88,1201.13,0,USD
2010-11-22,1196.63,1222.88,1190.63,1221.13,0,USD
2010-11-23,1225.38,1246.0,1201.63,1238.13,0,USD
2010-11-24,1241.38,1258.13,1237.13,1254.38,0,USD
2010-11-26,1256.63,1262.13,1235.88,1239.38,0,USD
2010-11-29,1239.88,1248.25,1226.63,1235.88,0,USD
2010-11-30,1238.75,1247.13,1227.88,1245.88,0,USD
2010-12-01,1243.38,1283.88,1240.38,1281.88,0,USD
2010-12-02,1281.88,1286.75,1273.88,1278.63,0,USD
2010-12-03,1282.75,1301.38,1280.25,1300.88,0,USD
2010-12-06,1303.63,1306.63,1280.38,1286.25,0,USD
2010-12-07,1288.75,1303.13,1282.38,1286.25,0,USD
2010-12-08,1282.88,1296.63,1266.63,1293.63,0,USD
2010-12-09,1295.75,1298.88,1278.63,1280.63,0,USD
2010-12-10,1283.38,1288.38,1268.63,1272.63,0,USD
2010-12-12,1272.38,1272.38,1272.38,1272.38,0,USD
2010-12-13,1269.25,1304.63,1259.63,1300.38,0,USD
2010-12-14,1299.5,1311.13,1292.63,1294.5,0,USD
2010-12-15,1294.13,1314.38,1291.13,1306.63,0,USD
2010-12-16,1305.5,1314.75,1296.13,1301.13,0,USD
2010-12-17,1300.75,1311.38,1295.25,1309.13,0,USD
2010-12-20,1324.5,1329.5,1307.63,1327.38,0,USD
2010-12-21,1326.75,1339.25,1323.13,1337.13,0,USD
2010-12-22,1336.38,1343.63,1328.75,1339.13,0,USD
2010-12-23,1340.63,1365.63,1338.88,1360.63,0,USD
2010-12-24,1361.5,1361.5,1361.5,1361.5,0,USD
2010-12-27,1353.63,1389.38,1350.25,1384.5,0,USD
2010-12-28,1385.13,1396.63,1383.38,1385.88,0,USD
2010-12-29,1386.13,1388.88,1374.88,1376.88,0,USD
2010-12-30,1375.38,1384.63,1370.13,1379.88,0,USD
2010-12-31,1377.38,1403.88,1376.38,1403.88,0,USD
2011-01-03,1395.75,1408.63,1380.38,1380.38,0,USD
2011-01-04,1378.63,1390.38,1357.75,1371.63,0,USD
2011-01-05,1372.63,1394.88,1362.13,1391.38,0,USD
2011-01-06,1392.38,1398.63,1376.38,1376.38,0,USD
2011-01-07,1376.88,1382.25,1360.38,1363.88,0,USD
2011-01-10,1368.63,1394.38,1366.25,1381.38,0,USD
2011-01-11,1382.13,1388.13,1355.88,1358.38,0,USD
2011-01-12,1359.63,1426.88,1359.13,1417.13,0,USD
2011-01-13,1418.75,1432.38,1413.0,1421.13,0,USD
2011-01-14,1418.75,1423.88,1405.38,1423.88,0,USD
2011-01-17,1423.0,1423.0,1423.0,1423.0,0,USD
2011-01-18,1412.5,1429.88,1408.5,1415.13,0,USD
2011-01-19,1417.38,1431.63,1402.38,1415.13,0,USD
2011-01-20,1413.75,1420.88,1384.0,1413.13,0,USD
2011-01-21,1415.88,1426.63,1405.38,1411.13,0,USD
2011-01-23,1412.63,1412.63,1412.63,1412.63,0,USD
2011-01-24,1411.5,1426.38,1396.88,1403.13,0,USD
2011-01-25,1404.0,1407.88,1370.38,1372.88,0,USD
2011-01-26,1375.63,1390.88,1364.38,1385.88,0,USD
2011-01-27,1389.63,1399.88,1378.13,1399.88,0,USD
2011-01-28,1401.75,1423.13,1392.75,1399.88,0,USD
2011-01-31,1395.75,1413.13,1394.88,1410.88,0,USD
2011-02-01,1413.5,1440.25,1408.38,1440.25,0,USD
2011-02-02,1439.63,1451.63,1433.63,1444.88,0,USD
2011-02-03,1445.13,1452.38,1434.13,1434.13,0,USD
2011-02-04,1437.63,1442.63,1422.38,1433.88,0,USD
2011-02-07,1437.38,1443.63,1421.38,1423.63,0,USD
2011-02-08,1425.88,1435.38,1414.25,1435.38,0,USD
2011-02-09,1438.5,1455.75,1435.13,1451.25,0,USD
2011-02-10,1451.5,1454.88,1430.38,1430.38,0,USD
2011-02-11,1432.38,1442.13,1410.38,1414.88,0,USD
2011-02-14,1419.13,1424.63,1400.25,1404.88,0,USD
2011-02-15,1403.63,1409.13,1366.13,1368.63,0,USD
2011-02-16,1369.25,1375.88,1357.13,1365.13,0,USD
2011-02-17,1378.75,1418.75,1378.75,1416.75,0,USD
2011-02-18,1417.88,1421.5,1373.38,1376.0,0,USD
2011-02-22,1390.75,1397.5,1310.5,1310.88,0,USD
2011-02-23,1309.88,1333.13,1296.25,1333.13,0,USD
2011-02-24,1332.63,1336.5,1310.5,1328.63,0,USD
2011-02-25,1328.88,1391.38,1322.5,1372.38,0,USD
2011-02-28,1378.25,1380.13,1358.0,1365.88,0,USD
2011-03-01,1368.25,1376.13,1354.0,1373.38,0,USD
2011-03-02,1374.13,1398.88,1372.13,1393.13,0,USD
2011-03-03,1390.5,1414.25,1384.63,1409.0,0,USD
2011-03-04,1410.38,1423.63,1396.38,1414.63,0,USD
2011-03-07,1412.25,1418.88,1384.63,1394.38,0,USD
2011-03-08,1395.5,1395.5,1374.13,1381.38,0,USD
2011-03-09,1381.88,1383.38,1347.63,1349.13,0,USD
2011-03-10,1350.63,1368.63,1322.13,1353.38,0,USD
2011-03-11,1353.38,1359.25,1305.13,1335.38,0,USD
2011-03-13,1335.88,1340.13,1326.63,1329.25,0,USD
2011-03-14,1329.38,1346.0,1317.88,1340.75,0,USD
2011-03-15,1340.88,1343.38,1269.0,1280.13,0,USD
2011-03-16,1282.13,1307.88,1277.25,1293.63,0,USD
2011-03-17,1293.38,1346.63,1290.38,1338.5,0,USD
2011-03-18,1338.38,1384.5,1322.88,1362.5,0,USD
2011-03-20,1370.0,1376.63,1365.25,1371.25,0,USD
2011-03-21,1371.38,1373.5,1351.63,1359.75,0,USD
2011-03-22,1359.13,1368.75,1344.63,1363.63,0,USD
2011-03-23,1363.5,1372.13,1348.88,1348.88,0,USD
2011-03-24,1350.25,1361.38,1338.38,1359.25,0,USD
